employee_id,first_name,last_name,gender,date_of_birth,ssn,email,phone_number,address,job_title,department,salary,hire_date,manager_name
1,Danielle,Johnson,Other,1972-06-20,229-18-1680,garzaanthony@example.org,538.990.8386,"65423 Garcia Light, West Melanieview, AS 06196",Psychiatric nurse,Engineering,53278,2021-06-15,Jamie Arnold
2,Maria,Montgomery,Other,1998-11-14,592-25-1140,stanleykendra@example.org,516.647.5255,"283 Steven Groves, Lake Mark, WI 07832",Estate manager/land agent,Finance,82098,2024-04-24,Jennifer Jones
3,Robin,Bradley,Male,1992-05-26,218-84-8180,pwilkerson@example.com,(842)738-8496,"710 Eric Estate, Carlsonfurt, MS 78605",Psychotherapist,HR,146530,2021-05-20,Shannon Smith
4,Jennifer,Maldonado,Male,1984-04-04,274-99-5574,cartereric@example.org,001-248-728-1489x3252,"4303 Christopher Oval, Port Amandaberg, DC 86975",Public relations officer,Operations,147080,2025-07-24,Joseph Obrien
5,Tamara,Hickman,Other,1994-01-30,707-26-5108,pcarney@example.com,587.213.3150x983,"10518 Joshua Oval, New David, FM 75348",Technical author,Engineering,127397,2020-10-26,Rhonda Lee
6,Collin,Jordan,Female,1979-02-26,479-94-0888,brownjessica@example.org,933.587.2624,"8108 Tanya Terrace, East Richard, NJ 28517",Oncologist,Engineering,53905,2025-02-12,Aaron Myers
7,Sara,Glover,Male,1972-12-05,714-94-9106,smoore@example.org,4982050097,"USS York, FPO AE 78493",Broadcast journalist,HR,80495,2022-11-05,Bryan Zamora
8,John,Wheeler,Other,1987-12-19,430-85-9563,sarah35@example.org,362-547-5107x991,"1354 Samuel Plains, Cherylhaven, AL 88039","Surveyor, building",Marketing,53478,2019-02-01,Teresa Taylor
9,Darrell,Rodriguez,Other,1984-12-27,279-37-9910,jenniferharris@example.net,687-440-1640x052,"011 Amy Village Suite 982, Andersonport, MN 05730",Materials engineer,HR,143850,2018-03-12,Brian Deleon
10,Nicole,Russell,Other,1988-01-09,159-31-2663,nicolejohnson@example.net,563-542-1607x33754,"5414 May Locks, Sheilaville, FM 34738","Editor, magazine features",Operations,121426,2021-11-24,Mrs. Linda Reed
11,Kristin,Graham,Female,2004-05-20,119-50-9447,jonathanfletcher@example.org,783.856.1595x14846,"66299 Sullivan Village, West Justinchester, WY 76520",Training and development officer,HR,108878,2022-08-22,Jeremy Lewis
12,Thomas,Santana,Other,1995-12-01,174-85-1390,zachary95@example.org,001-534-833-2003x79176,"01632 Williams Gateway, South Dennismouth, TN 70117","Surveyor, land/geomatics",Finance,156093,2022-01-18,Stephanie Salazar
13,Jennifer,Wagner,Male,1997-06-21,562-58-2608,wcole@example.org,+1-348-473-4714x3455,"231 Russell Plains Suite 603, Priceshire, UT 03061",Teaching laboratory technician,HR,141506,2019-11-24,Guy Molina
14,Melissa,Ashley,Female,1978-12-13,766-95-8948,tracynelson@example.com,2658627298,"62720 Gray Forest, Murphyfurt, KY 99068","Pharmacist, community",Finance,86421,2018-08-13,Alec Ryan
15,Zoe,Bell,Male,1989-05-08,800-84-0660,herringjames@example.org,+1-323-427-1937x452,"Unit 1904 Box 9663, DPO AE 78108",Financial manager,HR,175463,2017-02-10,Sarah Burke
16,David,Riggs,Female,1995-04-25,356-69-7019,casey50@example.com,916.857.2628x4987,"3147 Karen Port Suite 507, Hunterborough, MI 34363","Librarian, public",Engineering,62156,2018-11-21,Sheryl Peters
17,Zachary,Lee,Female,1970-12-15,417-63-9097,hannahbrewer@example.com,701.843.6349x578,"Unit 8557 Box 4443, DPO AE 95041","Engineer, automotive",Engineering,97052,2019-04-01,Tiffany Vaughn
18,James,Rodgers,Female,1972-07-14,604-98-8596,tina34@example.org,(924)308-2400x842,"7752 Johnny Wall Suite 116, Joneston, FL 20056","Surveyor, quantity",Marketing,84671,2025-08-02,David Grant
19,Robert,Carlson,Male,1987-12-03,795-67-6233,tkerr@example.net,(349)490-9133x41232,"974 Jesse Squares Suite 713, Kristinshire, TN 26429","Physicist, medical",Operations,110217,2017-03-29,Chase Baker
20,Douglas,Brown,Other,1995-10-06,610-96-9326,scott74@example.net,(248)387-7190x6594,"490 Thomas Run, Moonburgh, OR 57633",Regulatory affairs officer,Engineering,177548,2025-10-13,Jason Morris
21,Daniel,Martin,Female,1978-08-14,508-37-6562,gibsonleonard@example.com,768-908-7603,"48247 Martinez Roads, Lake Eric, OH 02293",Sub,Engineering,122357,2020-03-04,Ryan Wilson
22,Stacey,Holland,Female,1967-01-08,734-38-8338,robert77@example.org,682.263.9821x465,"972 Ryan Key Suite 886, Cantuborough, UT 31801","Teacher, music",Operations,131070,2019-12-03,Jennifer Flores
